"filename", "language", "JavaScript", "Vue", "XML", "Less", "JSON", "Markdown", "HTML", "Properties", "Log", "comment", "blank", "total"
"/Users/xiaoyn/Desktop/workingFiles/project180007/.eslintrc.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"/Users/xiaoyn/Desktop/workingFiles/project180007/.eslintrc.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/xiaoyn/Desktop/workingFiles/project180007/README.zh-CN.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 18, 55
"/Users/xiaoyn/Desktop/workingFiles/project180007/babel.config.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"/Users/xiaoyn/Desktop/workingFiles/project180007/config/plugin.config.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 50
"/Users/xiaoyn/Desktop/workingFiles/project180007/config/themePluginConfig.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 116
"/Users/xiaoyn/Desktop/workingFiles/project180007/deploy/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 5, 29
"/Users/xiaoyn/Desktop/workingFiles/project180007/jest.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 24
"/Users/xiaoyn/Desktop/workingFiles/project180007/jsconfig.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 1, 12
"/Users/xiaoyn/Desktop/workingFiles/project180007/package.json", "JSON", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"/Users/xiaoyn/Desktop/workingFiles/project180007/postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/xiaoyn/Desktop/workingFiles/project180007/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/assest.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 153
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/check.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 131
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/configuration.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 134
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/diagnosis.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 162
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/login.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/management.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 50
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/api/task.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 106
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/App.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalFooter/index.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/AvatarDropdown.vue", "Vue", 0, 93, 0, 0, 0, 0, 0, 0, 0, 3, 4, 100
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/ChangePasswordModal.vue", "Vue", 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 2, 79
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/DecodeKey.vue", "Vue", 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 2, 79
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/RightContent.vue", "Vue", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/NProgress/nprogress.less", "Less", 0, 0, 0, 59, 0, 0, 0, 0, 0, 3, 15, 77
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/_util/util.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 47
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/index.less", "Less", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/config/defaultSettings.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 34
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/bootstrap.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/directives/action.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 35
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/lazy_use.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 111
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/permission/permission.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 56
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/global.less", "Less", 0, 0, 0, 132, 0, 0, 0, 0, 0, 3, 19, 154
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/BasicLayout.less", "Less", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 8, 37
"/Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/BasicLayout.vue", "Vue", 0, 121, 0, 0, 0, 0, 0, 0, 0, 15, 9, 145
